Gene,ENSG,logFC,logCPM,F,PValue,FDR
IL1B,ENSG00000125538,3.934883521363206,8.937118538873344,84.91314227053009,1.3693321541936684e-7,8.231055578858141e-4
ZC3HAV1,ENSG00000105939,3.09694312922293,9.785022920964838,74.90232713436825,3.057818978206584e-7,9.190274938999887e-4
CCL4L2,ENSG00000276070,3.7229996650967023,7.059524229254828,57.62228348103449,1.5837352183626136e-6,0.0028040319416628057
MAP4K4,ENSG00000071054,2.813195579239577,8.315956808387226,55.96641844824889,1.8659337492349398e-6,0.0028040319416628057
TNIP3,ENSG00000050730,2.2629789674674723,9.54984876823399,39.90954500173581,1.3361580142267855e-5,0.016063291647034416
NR4A3,ENSG00000119508,2.040753327729959,9.451891899878984,36.2012339352567,2.2903303262405386e-5,0.022945292651719795
PTGS2,ENSG00000073756,2.1744124762101413,8.03598695185408,33.93187417968089,3.251187880771562e-5,0.027918414787596938
DLL4,ENSG00000128917,2.5638275505066486,7.051610899513749,31.770447830669198,4.6218081484867584e-5,0.03472711097569238
ADORA2A,ENSG00000128271,2.0693504313093403,8.070949536678095,30.54203776647303,5.664437025165765e-5,0.03783214550919046
TRAF1,ENSG00000056558,1.874995818064184,9.605012407111731,26.196366632616577,1.2330063810149549e-4,0.0634988422516992
PELI1,ENSG00000197329,2.3584365649109933,6.993354799428382,26.10137452086085,1.2578282106779604e-4,0.0634988422516992
CPD,ENSG00000108582,1.9946212744288423,7.77629035002357,26.051675385643307,1.2676528148733828e-4,0.0634988422516992
NOCT,ENSG00000151014,1.822962638678642,8.393900154547678,25.4351074750473,1.4256660789552093e-4,0.06419082830248396
CSF3,ENSG00000108342,4.312520475620228,5.075493082663173,23.733578434374742,1.5518488234676856e-4,0.06419082830248396
JDP2,ENSG00000140044,1.7891302976893981,9.924935183853695,24.83379672847788,1.601834011873664e-4,0.06419082830248396
EHD1,ENSG00000110047,1.7901724329654434,8.20099160789546,24.069072948261802,1.863217067596937e-4,0.06999873620828242
SOCS1,ENSG00000185338,1.7184194016460053,8.15534569034741,22.87666726619046,2.3727950352411294e-4,0.08389924092255546
HES1,ENSG00000114315,2.6220917342529293,6.051694596837591,21.508374647583718,3.180182925797194e-4,0.10353159287677834
CCL4,ENSG00000275302,1.5659229528445158,10.219704061642828,21.113901148291312,3.443327575263235e-4,0.10353159287677834
ADA,ENSG00000196839,1.8781513436348578,7.583786272104201,21.113602171811483,3.444737743363112e-4,0.10353159287677834
