Gene,ENSG,logFC,logCPM,F,PValue,FDR
DLL4,ENSG00000128917,3.6119735494662897,7.351725439420857,542.5765462249346,3.054744213152621e-11,1.579020772657379e-7
CCL4L2,ENSG00000276070,3.4315317757940482,6.027768740357693,531.9663549008269,3.424867133364276e-11,1.579020772657379e-7
CSF3,ENSG00000108342,5.087531354034957,3.986042891764136,524.7814031187651,3.706982094816467e-11,1.579020772657379e-7
CXCL1,ENSG00000163739,3.508020430477737,5.98579179985022,499.7448351238563,4.9164826835150506e-11,1.579020772657379e-7
PTGS2,ENSG00000073756,3.4458028524595363,8.960866244804713,481.79934515625354,6.073686580335132e-11,1.579020772657379e-7
PELI1,ENSG00000197329,3.2911595918865646,7.902025367323863,473.63373195483433,6.70402252755751e-11,1.579020772657379e-7
RND1,ENSG00000172602,3.273485465010234,5.800815716809188,457.0183606525075,8.238949669103136e-11,1.6633262389109358e-7
IL23A,ENSG00000110944,5.59048916521626,2.8670875291366538,429.5519838189323,1.1823109762153632e-10,2.088552339484439e-7
IL6,ENSG00000136244,5.679194217204516,2.4678280568515976,409.5057419813338,1.5654544559383854e-10,2.4581113745912515e-7
FOSB,ENSG00000125740,4.65604231600732,2.655489029416022,385.68303281754186,2.192087033145767e-10,3.097857395241598e-7
CCL20,ENSG00000115009,2.9429744623854712,5.972006278737971,374.5512361942848,2.590355648775825e-10,3.327900548045451e-7
TNF,ENSG00000232810,3.2584384038335763,6.053255434033692,362.02490223909166,3.1487094389733737e-10,3.7081301492976435e-7
IL1A,ENSG00000115008,3.4398826551246,3.6063602003316673,347.5366378133193,3.979690856630981e-10,4.248992401570577e-7
ZC3HAV1,ENSG00000105939,2.924832833556992,8.558979673989203,344.1440639745464,4.209304671807817e-10,4.248992401570577e-7
CCL3L3,ENSG00000276085,3.6852118704349794,4.718722625627067,325.2593767571815,5.814031801500138e-10,5.47759316125333e-7
OSR2,ENSG00000164920,4.102813224159064,2.6807902672275405,306.64384911925475,8.144846814659031e-10,7.19393594904759e-7
CXCL3,ENSG00000163734,2.818135718126619,6.36286244890438,293.2367049986296,1.050333751942969e-9,8.731362695563552e-7
KLF4,ENSG00000136826,3.246369325856908,3.1738865978636177,280.42763330705174,1.354532722342043e-9,1.0634586906743195e-6
JAG1,ENSG00000101384,2.3798703643840606,5.817306770589065,253.42023453422868,2.4064038436133884e-9,1.7898578483128635e-6
ZNF503,ENSG00000165655,3.3245593035025007,3.2357180298716677,249.2670996470674,2.642754687803584e-9,1.8673704624020123e-6
