Gene,Symbol_donor1_rep1,t_0m_nascent_readcount_donor1_rep1,t_15m_nascent_readcount_donor1_rep1,t_30m_nascent_readcount_donor1_rep1,t_60m_nascent_readcount_donor1_rep1,t_90m_nascent_readcount_donor1_rep1,t_105m_nascent_readcount_donor1_rep1,t_120m_nascent_readcount_donor1_rep1,Symbol_donor1_rep2,t_0m_nascent_readcount_donor1_rep2,t_15m_nascent_readcount_donor1_rep2,t_30m_nascent_readcount_donor1_rep2,t_45m_nascent_readcount,t_60m_nascent_readcount_donor1_rep2,t_75m_nascent_readcount,t_90m_nascent_readcount_donor1_rep2,t_105m_nascent_readcount_donor1_rep2,t_120m_nascent_readcount_donor1_rep2
ENSG00000224051,CPTP,2.5168000000000004,1.4352,3.8181,2.6691,4.3260000000000005,1.449,8.7494,CPTP,6.769,3.7728,0.6722999999999999,6.965999999999999,2.7538,7.09605,8.8508,7.312399999999999,12.4431
ENSG00000169962,TAS1R3,0,0,0,0,0,0,0,TAS1R3,1.683,0,0,0,NA,NA,0,1.9587,0
ENSG00000179403,VWA1,0,0,1.6206,1.6354000000000002,0,1.2191999999999998,0,VWA1,0,0,0,0,0,0.1326,0.784,1.2456,1.005
ENSG00000215915,ATAD3C,0,0,0,NA,0,0,0,ATAD3C,0,0,0,0,NA,0,0,1.04824401,0
ENSG00000158109,TPRG1L,38.762125,58.110325,38.6815,42.862,34.5092,54.4288,15.9822,TPRG1L,39.1406,8.251800000000001,29.1623,23.90505,9.1877,0,33.4196,22.096400000000003,10.7408
ENSG00000078900,TP73,0,0,NA,NA,0,0,NA,TP73,NA,NA,0,0,NA,NA,NA,0,NA
ENSG00000235169,SMIM1,0,0,0,0,0,0,0,SMIM1,0,0,0,1.1748,0,0,0,0,0.9156
ENSG00000169598,DFFB,1.79595,0.5796,3.5025,2.7378,1.8515,1.68805,0,DFFB,0,0,0.8679,1.017,2.7209000000000003,0,0,2.4206,0
ENSG00000196581,AJAP1,NA,0,NA,NA,NA,0,NA,AJAP1,NA,0,NA,NA,NA,NA,NA,NA,NA
ENSG00000069424,KCNAB2,16.811066800000003,12.35545,19.15368,6.61865,8.7636,11.06271,14.7706,KCNAB2,21.4625,15.82189014,0.85455857,13.70664,10.499775,36.14544,16.569,12.54627347,11.95524
ENSG00000158286,RNF207,2.0984,0,1.4058000000000002,0,0.7821,0,0,RNF207,0,0,0,0,0,0,0,3.1311,0
ENSG00000187017,ESPN,0,0,0,NA,NA,0,0,ESPN,0,0,0,0,NA,NA,NA,0,0
ENSG00000157330,CFAP107,NA,NA,NA,NA,1,NA,NA,CFAP107,NA,NA,0,NA,NA,NA,NA,NA,NA
ENSG00000277058,HNRNPCL3,NA,NA,0.5,NA,0.3333,NA,NA,HNRNPCL3,NA,0.1667,NA,NA,NA,NA,0,NA,0.2
ENSG00000204478,PRAMEF20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSG00000160072,ATAD3B,3.66566676,10.33375809,2.85909159,5.345899999999999,12.601575,5.19935013,1.5858917099999998,ATAD3B,7.0577,1.8168,7.58003341,1.2809167,4.3708,0,5.55496654,1.93966674,11.16351642
ENSG00000197785,ATAD3A,0,4.81953311,4.11426647,10.7975,0,2.10903323,0.17375000999999998,ATAD3A,2.41839181,2.01060823,0,2.80906682,4.88412459,6.42786714,0,0,1.98426676
ENSG00000197530,MIB2,13.88696637,22.3445,14.2154,23.1508,0,22.9164,16.331699999999998,MIB2,15.0457,17.2107,41.1628,19.8687,8.127,4.315999919999999,6.8985,4.1445,10.3096
ENSG00000158786,PLA2G2F,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSG00000162543,UBXN10,NA,NA,NA,0,0,0,NA,UBXN10,NA,NA,NA,NA,NA,NA,NA,0,NA
ENSG00000158825,CDA,0,0.5147999999999999,0.3692000399999999,0.7747,1.7775,0,0,CDA,0,0,0,0.2754,0,0,1.365,0,0.987
ENSG00000179023,KLHDC7A,3.0448,0.5204,NA,NA,NA,0,NA,KLHDC7A,0.7186,0,0,0,0,NA,0,0,NA
ENSG00000053372,MRTO4,8.0124,3.0280500000000004,4.9319999999999995,3.1104,0.4104,6.643599999999999,1.6775999999999998,MRTO4,2.4156,3.5188,6.7089,2.5936,1.224,3.5225999999999997,6.904,2.6499,5.956971660000001
ENSG00000040487,SLC66A1,0,0,1.0716,3.1551,0,2.8836,1.21495,SLC66A1,1.7654,4.5577,0,2.625,4.5264,2.5875,3.0071999999999997,3.1552,6.5164
ENSG00000173436,MICOS10,15.5584,20.9118,13.6422,18.2169,21.1062,26.40785,25.1806,MICOS10,18.725199999999997,15.259799999999998,10.94405,11.5506,37.1644,27.8812,57.859199999999994,39.42637,41.8477
ENSG00000158828,PINK1,26.00125,2.47975,2.0258000000000003,10.20875,8.177,16.165499999999998,8.674199999999999,PINK1,13.4576,8.968300000000001,2.2832999999999997,6.25006662,6.436,0,4.222,6.3252,5.96
ENSG00000142794,NBPF3,19.9578,7.119800000000001,27.15806409,6.65225,18.81175,9.3984,20.90899794,NBPF3,7.0629993,11.31186552,11.2948,5.53571613,7.7837,42.14215,6.2396,25.7796,12.491332240000002
ENSG00000162551,ALPL,0,0,0,0,0,0,0,ALPL,0,0,0,2.9568,0,NA,0,0,0
ENSG00000289715,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSG00000158747,NBL1,32.391000000000005,39.7728,14.3754,29.772,34.3854,45.3654,35.910399999999996,NBL1,25.5339,9.0992,21.1023,21.2814,46.68885,11.12375,48.5632,21.96285,32.5732
ENSG00000270136,MICOS10-NBL1,0,4.7908,0,1.08445,3.2934,2.56925,0,MICOS10-NBL1,6.844799999999999,3.4114,1.45275,3.0785,14.461049999999998,3.1974,19.62875,3.60648,5.224
ENSG00000158748,HTR6,0,0,0,0,0,0,0,HTR6,0,0,0,0,0,0,0,0,0
ENSG00000169914,OTUD3,4.9242,0.617,3.9916,0,2.0601000000000003,0,1.672,OTUD3,0.7917,2.4472,0,3.3948,6.2700000000000005,0,7.54399959,5.67,7.9692
ENSG00000162490,DRAXIN,3.1725,2.38,1.9575,1.1929500000000002,5.777200000000001,5.4648,0.9152,DRAXIN,3.6424,8.015,0,1.3002,6.8766,1.0296,6.53666755,0,0.9585
ENSG00000189409,MMP23B,0,0,0,0,0,0.11719992,0.5332,MMP23B,0,0,0,0,0.73394937,0.5226,0,0,0.5162
ENSG00000169885,CALML6,NA,NA,0,0,0,0,0,CALML6,0,NA,0,0,NA,0,0,0,0
ENSG00000120942,UBIAD1,4.464,2.025,0,1.7493,0,3.9331,0,UBIAD1,4.3008,6.4233,3.2801599999999995,3.222,1.70746673,4.4086,5.6742,0,1.51659996
ENSG00000204624,DISP3,0,0.4235,0,0,0,0,NA,DISP3,0,0,0,0,0,NA,0,0,0
ENSG00000132879,FBXO44,8.8688,5.136,6.06133344,15.282,3.44255,4.3442,2.5578,FBXO44,9.317,3.6834,3.237,4.1085,19.1637,0,11.1888,2.9889,13.8128
ENSG00000116663,FBXO6,6.20165,3.70841665,6.79650003,5.322,6.149399999999999,6.0183,11.56995,FBXO6,5.60285,5.4153,3.2096,2.1646,3.87704997,4.21365,0,0,2.5911333200000004
ENSG00000067606,PRKCZ,0.4094,0.204,0.1818,0,1.3431,0,0,PRKCZ,0,0,0,0,0,0,0,0,5.073
