Gene,Symbol_donor1_rep1,t_0m_Readcount_donor1_rep1,t_15m_Readcount_donor1_rep1,t_30m_Readcount_donor1_rep1,t_60m_Readcount_donor1_rep1,t_90m_Readcount_donor1_rep1,t_105m_Readcount_donor1_rep1,t_120m_Readcount_donor1_rep1,no4sU_Readcount_donor1_rep1,t_0m_MAP_donor1_rep1,t_15m_MAP_donor1_rep1,t_30m_MAP_donor1_rep1,t_60m_MAP_donor1_rep1,t_90m_MAP_donor1_rep1,t_105m_MAP_donor1_rep1,t_120m_MAP_donor1_rep1,Symbol_donor1_rep2,t_0m_Readcount_donor1_rep2,t_15m_Readcount_donor1_rep2,t_30m_Readcount_donor1_rep2,t_60m_Readcount_donor1_rep2,t_90m_Readcount_donor1_rep2,t_105m_Readcount_donor1_rep2,t_120m_Readcount_donor1_rep2,no4sU_Readcount_donor1_rep2,t_0m_MAP_donor1_rep2,t_15m_MAP_donor1_rep2,t_30m_MAP_donor1_rep2,t_60m_MAP_donor1_rep2,t_90m_MAP_donor1_rep2,t_105m_MAP_donor1_rep2,t_120m_MAP_donor1_rep2
ENSG00000224051,CPTP,1144,1104,1157,861,721,1035,902,1238,0.0022,0.0013,0.0033,0.0031,0.006,0.0014,0.0097,CPTP,967,1048,2241,562,812,724,1121,1238,0.007,0.0036,3e-4,0.0049,0.0109,0.0101,0.0111
ENSG00000169962,TAS1R3,9,28,19,7,4,7,11,23,0,0,0,0,0,0,0,TAS1R3,18,13,41,0,6,3,6,23,0.0935,0,0,NA,0,0.6529,0
ENSG00000179403,VWA1,90.3333,65,73,74,58,96,81,81,0,0,0.0222,0.0221,0,0.0127,0,VWA1,80,68,131,58,98,72,75,81,0,0,0,0,0.008,0.0173,0.0134
ENSG00000215915,ATAD3C,9.3333,3.1667,8,0,6.25,1.3333,3.3333,3.3333,0,0,0,NA,0,0,0,ATAD3C,0.8333,6.0833,37.5833,0,9.3333,5.8333,5,3.3333,0,0,0,NA,0,0.1797,0
ENSG00000158109,TPRG1L,2095.25,2024.75,1758.25,1478,1426,1864,1366,1976,0.0185,0.0287,0.022,0.029,0.0242,0.0292,0.0117,TPRG1L,1578.25,1618,1511,1163,1943,1493,1918,1976,0.0248,0.0051,0.0193,0.0079,0.0172,0.0148,0.0056
ENSG00000078900,TP73,5,1,0,0,2,3,0,1,0,0,NA,NA,0,0,NA,TP73,0,0,4,0,0,3,0,1,NA,NA,0,NA,NA,0,NA
ENSG00000235169,SMIM1,67,42,51,35,24,32,32,29,0,0,0,0,0,0,0,SMIM1,58,40,98,14,22,24,28,29,0,0,0,0,0,0,0.0327
ENSG00000169598,DFFB,460.5,483,467,351,264.5,318.5,320,472,0.0039,0.0012,0.0075,0.0078,0.007,0.0053,0,DFFB,535,443.3333,789,299,394,247,386,472,0,0,0.0011,0.0091,0,0.0098,0
ENSG00000196581,AJAP1,0,2,0,0,0,3,0,3,NA,0,NA,NA,NA,0,NA,AJAP1,0,4,0,0,0,0,0,3,NA,0,NA,NA,NA,NA,NA
ENSG00000069424,KCNAB2,4202.7667,4260.5,4911.2,3483.5,2921.2,4097.3,3211,3415.3333,0.004,0.0029,0.0039,0.0019,0.003,0.0027,0.0046,KCNAB2,3156.25,3767.1167,8545.5857,2692.25,3682,3060.0667,3622.8,3415.3333,0.0068,0.0042,1e-4,0.0039,0.0045,0.0041,0.0033
ENSG00000158286,RNF207,61,54,71,53,79,83,82,67.5,0.0344,0,0.0198,0,0.0099,0,0,RNF207,50,43,157,73,80,63,119.5,67.5,0,0,0,0,0,0.0497,0
ENSG00000187017,ESPN,3,4,5,0,0,11,2,2,0,0,0,NA,NA,0,0,ESPN,3,2,1,0,0,1,3,2,0,0,0,NA,NA,0,0
ENSG00000157330,CFAP107,0,0,0,0,1,0,0,0,NA,NA,NA,NA,1,NA,NA,CFAP107,0,0,9,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA
ENSG00000277058,HNRNPCL3,0,0,0.5,0,0.3333,0,0,0,NA,NA,1,NA,1,NA,NA,HNRNPCL3,0,0.1667,0,0,0.1667,0,0.2,0,NA,1,NA,NA,0,NA,1
ENSG00000204478,PRAMEF20,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSG00000160072,ATAD3B,1309.1667,1415.5833,1243.0833,1091,992.25,1333.1667,1219.9167,1770.5,0.0028,0.0073,0.0023,0.0049,0.0127,0.0039,0.0013,ATAD3B,1357.25,1135.5,3295.6667,892,1461.8333,881.6667,1508.5833,1770.5,0.0052,0.0016,0.0023,0.0049,0.0038,0.0022,0.0074
ENSG00000197785,ATAD3A,490.8333,719.3333,697.3333,617,349.0833,680.3333,579.1667,777.3333,0,0.0067,0.0059,0.0175,0,0.0031,3e-4,ATAD3A,562.4167,648.5833,1964.75,397.0833,712.5,438.6667,708.6667,777.3333,0.0043,0.0031,0,0.0123,0,0,0.0028
ENSG00000197530,MIB2,1560.3333,1943,1921,1867,1258,2203.5,1617,2427,0.0089,0.0115,0.0074,0.0124,0,0.0104,0.0101,MIB2,1749.5,1471,6748,1290,1971,1381.5,2104,2427,0.0086,0.0117,0.0061,0.0063,0.0035,0.003,0.0049
ENSG00000158786,PLA2G2F,6,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSG00000162543,UBXN10,0,0,0,1,1,4,0,0,NA,NA,NA,0,0,0,NA,UBXN10,0,0,0,0,0,3,0,0,NA,NA,NA,NA,NA,0,NA
ENSG00000158825,CDA,176.8,198,307.6667,127,237,289,142,178,0,0.0026,0.0012,0.0061,0.0075,0,0,CDA,113,131,138,115,182,243,235,178,0,0,0,0,0.0075,0,0.0042
ENSG00000179023,KLHDC7A,4,4,0,0,0,2,0,0,0.7612,0.1301,NA,NA,NA,0,NA,KLHDC7A,2,9,21,10,2,3,0,0,0.3593,0,0,0,0,0,NA
ENSG00000053372,MRTO4,1214,1121.5,1096,648,1026,977,699,835,0.0066,0.0027,0.0045,0.0048,4e-4,0.0068,0.0024,MRTO4,732,926,1177,680,863,803,1103.1429,835,0.0033,0.0038,0.0057,0.0018,0.008,0.0033,0.0054
ENSG00000040487,SLC66A1,1738,1672,1786,1213.5,1180,1602,1104.5,1435,0,0,6e-4,0.0026,0,0.0018,0.0011,SLC66A1,1261,1340.5,3213.5,943,1432,1088,1481,1435,0.0014,0.0034,0,0.0048,0.0021,0.0029,0.0044
ENSG00000173436,MICOS10,1215.5,1149,954,1124.5,1213,1340.5,919,1562,0.0128,0.0182,0.0143,0.0162,0.0174,0.0197,0.0274,MICOS10,1800.5,1315.5,734.5,2042,3013.5,1534.1,1955.5,1562,0.0104,0.0116,0.0149,0.0182,0.0192,0.0257,0.0214
ENSG00000158828,PINK1,4727.5,4959.5,5064.5,4083.5,4088.5,6217.5,4819,6263,0.0055,5e-4,4e-4,0.0025,0.002,0.0026,0.0018,PINK1,4205.5,4076.5,7611,3218,5277.5,4518,5960,6263,0.0032,0.0022,3e-4,0.002,8e-4,0.0014,0.001
ENSG00000142794,NBPF3,449.5,367,351.3333,324.5,400.25,352,338.3333,289,0.0444,0.0194,0.0773,0.0205,0.047,0.0267,0.0618,NBPF3,336.3333,328.8333,374,277,410.5,308,380.8333,289,0.021,0.0344,0.0302,0.0281,0.0152,0.0837,0.0328
ENSG00000162551,ALPL,23,13,13,7,7,31,13,12,0,0,0,0,0,0,0,ALPL,12,11,18,4,18,13,20,12,0,0,0,0,0,0,0
ENSG00000289715,NA,0,0,0,0,0,3,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSG00000158747,NBL1,5310,5524,5529,4962,5458,8401,5792,7736,0.0061,0.0072,0.0026,0.006,0.0063,0.0054,0.0062,NBL1,5211,4136,11723.5,3990.5,8672,5631.5,7403,7736,0.0049,0.0022,0.0018,0.0117,0.0056,0.0039,0.0044
ENSG00000270136,MICOS10-NBL1,609,406,459.5,264.5,748.5,597.5,450,581.5,0,0.0118,0,0.0041,0.0044,0.0043,0,MICOS10-NBL1,356.5,461,968.5,450.5,957.5,500.9,653,581.5,0.0192,0.0074,0.0015,0.0321,0.0205,0.0072,0.008
ENSG00000158748,HTR6,4,8,8,11,2,2,2,1,0,0,0,0,0,0,0,HTR6,3,6,43,3,2,7,18,1,0,0,0,0,0,0,0
ENSG00000169914,OTUD3,566,617,587,321,381.5,553,440,650,0.0087,0.001,0.0068,0,0.0054,0,0.0038,OTUD3,609,532,415,380,613.3333,540,687,650,0.0013,0.0046,0,0.0165,0.0123,0.0105,0.0116
ENSG00000162490,DRAXIN,225,175,261,120.5,164.125,216,176,146,0.0141,0.0136,0.0075,0.0099,0.0352,0.0253,0.0052,DRAXIN,157,175,519,157,246.6667,181,213,146,0.0232,0.0458,0,0.0438,0.0265,0,0.0045
ENSG00000189409,MMP23B,37.8333,50.1667,57.8333,32,26.5,48.8333,31,71.1667,0,0,0,0,0,0.0024,0.0172,MMP23B,42.8333,29.3333,160.8333,38.8333,36,30.5,58,71.1667,0,0,0,0.0189,0,0,0.0089
