Gene,t_0m_total_readcount_donor1_rep1,t_15m_total_readcount_donor1_rep1,t_30m_total_readcount_donor1_rep1,t_60m_total_readcount_donor1_rep1,t_90m_total_readcount_donor1_rep1,t_105m_total_readcount_donor1_rep1,t_120m_total_readcount_donor1_rep1,t_0m_total_readcount_donor1_rep2,t_15m_total_readcount_donor1_rep2,t_30m_total_readcount_donor1_rep2,t_60m_total_readcount_donor1_rep2,t_90m_total_readcount_donor1_rep2,t_105m_total_readcount_donor1_rep2,t_120m_total_readcount_donor1_rep2
ENSG00000224051,1149,1115,1174,877,724,1047,903,975,1056,2258,565,820,724,1126
ENSG00000169962,46,74,53,28,19,70,43,60,37,113,17,36,26,41
ENSG00000205116,0,0,1,0,4,0,4,1,0,12.2,3,0,0,0
ENSG00000179403,93.3333,65,74,74,58,96,81,80,68,131,58,98,72,75
ENSG00000215915,9.3333,3.1667,8,0,6.25,1.3333,3.3333,0.8333,6.0833,43.4583,0,9.7619,6.8333,5
ENSG00000157330,0,0,0,0,1,0,0,0,0,9,0,0,0,0
ENSG00000277058,0,0,0.5,0,0.3333,0,0,0,0.1667,0,0,0.1667,0,0.2
ENSG00000204478,3,2,4,4,0,10,0,0,2,11,2,6,4,0
ENSG00000158109,2111.25,2037.75,1765.25,1488,1437,1892,1372,1591.25,1629,1521,1163,1952,1517,1930
ENSG00000078900,44,58,72,29,37,81,60,44,32,126,19,61,35,73
ENSG00000162592,19,7,10,19,22,9,0,10,11,34,16,5,9,34
ENSG00000235169,85,52,58,42,29,32,38,76,49,137,14,51,41,38
ENSG00000169598,472.5,488,477,357,267.5,318.5,322,540,457.3333,803.375,300.5,413,254,386
ENSG00000160072,1311.1667,1420.5833,1258.0833,1095,999.25,1337.6667,1229.5833,1360.25,1137.5,3313.1667,892,1471.1667,885.6667,1508.5833
ENSG00000197785,493.3333,725.1667,704.3333,622,349.0833,683.8333,583.8333,569.4167,653.5833,1968.25,397.0833,714.8333,440.6667,712.1667
ENSG00000197530,1588.3333,1972,1951,1878,1269,2235.5,1621,1762.5,1484,6850.6667,1321,1986,1389.5,2114
ENSG00000189409,37.8333,52.1667,59.8333,33.5,26.5,48.8333,31,44.8333,29.8333,160.8333,38.8333,36,30.5,58
ENSG00000169885,0,0,7,5,2,11,6,4,0,6,0,2,1,5
ENSG00000162426,1,0,5,2,3.5,2,0,5,4,7,0,1,0,2
ENSG00000131686,0,0,0,1,0,0,0,0,0,0,0,3,0,0
ENSG00000251503,125,74,84,44,64,86,96,64,94,139,84,67,117,155
